"DOMICILIO","PARTIDO 11:30 AM A 3:00 PM","PART3","11:30:00","15:00:00",NULL
"DOMICILIO","TURNO CORRIDO 11:30 AM A 10:00 PM","TCOR1","11:30:00","22:00:00",NULL
"DOMICILIO","TURNO CORRIDO 12:00 PM A 9:30 PM","TCOR2","12:00:00","21:30:00",NULL
"DOMICILIO","TURNO CORRIDO 12:00 PM A 10:00 PM","TCOR3","12:00:00","22:00:00",NULL
"DOMICILIO","TURNO CORRIDO 1:00 PM A 9:30 PM","TCOR4","13:00:00","21:30:00",NULL
"DOMICILIO","TUNO CORRIDO 11:30 AM A 8:00","TCOR5","11:30:00","20:00:00",NULL
"DOMICILIO","TURNO CORRIDO 11:30 AM A 9:30 PM","TCOR6","11:30:00","21:30:00",NULL
"DOMICILIO","TURNO CORRIDO 2:00 PM A 10:PM","TCOR7","14:00:00","22:00:00",NULL
"DOMICILIO","DESPACHOS 2:00 PM A 10:00 PM","DESP1","14:00:00","22:00:00",NULL
"DOMICILIO","PARTIDO CIERRE 6:00 PM A 9:30 PM","PARCIERRE1","18:00:00","21:30:00",NULL
"DOMICILIO","PARTIDO CIERRE 7:00 PM A 9:30 PM","PARCIERRE2","19:00:00","21:30:00",NULL
"DOMICILIO","PARTIDO CIERRE 6:00 PM A 10:00 PM","PARCIERRE3","18:00:00","22:00:00",NULL
"DOMICILIO","PARTIDO CIERRE 7:00 PM A 10:00 PM","PARCIERRE4","19:00:00","22:00:00",NULL
"DOMICILIO","PARTIDO DESPACHOS CIERRE 6:00 PM A 10:00 PM","PARTDESPCIER","18:00:00","22:00:00",NULL
"DOMICILIO","DESCANSO","DESC","11:00:00","19:00:00",NULL
"DOMICILIO","DESPACHOS 12:00 PM A 10:00 PM","DESP2","12:00:00","22:00:00",NULL
"DOMICILIO","DESPACHOS 11:00 AM A 10:00","DESP3","11:00:00","22:00:00",NULL
"DOMICILIO","TURNO CORRIDO 11:00 AM A 10:00 PM","TCOR8","11:00:00","22:00:00",NULL
"DOMICILIO","TURNO CORRIDO 11:00 AM A 9:30 PM","TCOR9","11:00:00","21:30:00",NULL
"DOMICILIO","DESPACHOS 1:00 PM A 10:00 PM","DESP5","13:00:00","22:00:00",NULL
"DOMICILIO","TURNO CORRIDO DE 11:00 AM A 8:00 AM","TCOR9","11:00:00","20:00:00",NULL
"DOMICILIO","TURNO CORRIDO 14:00PM A 21:30","TCOR2","14:00:00","21:30:00",NULL
"DOMICILIO","TUNO CORRIDO 2:00 PM A 9:30",NULL,"14:00:00","21:30:00",NULL
"DOMICILIO","TURNO CORRIDO 1:00 PM A 10:00 PM","TCOR2","13:00:00","22:00:00",NULL
"DOMICILIO","PARTIDO 11:00 AM A 7:00 PM","TCOR","11:00:00","19:00:00",NULL
"DOMICILIO","DESPACHOS  11:00 AM A 8:00 PM","TCOR","11:00:00","20:00:00",NULL
"DOMICILIO","PARTIDO 11:30 AM A 2:00 PM","TCOR2","11:30:00","14:00:00",NULL
"DOMICILIO","TURNO PARTIDO 6:30 PM A 10:00 PM","TCOR2","18:30:00","22:00:00",NULL
"DOMICILIO","CORRIDO 11:30 AM A 7:30 PM","TCOR","11:30:00","19:30:00",NULL
"DOMICILIO","TURNO CORRIDO 12:00 AM A 8:00 PM","TCOR","12:00:00","20:00:00",NULL
"DOMICILIO","PAGO DE HORAS 11:00 A 7:00","TCOR","11:00:00","19:00:00",NULL
"DOMICILIO","TURNO CORRIDO 11:00 AM A 9:30 PM","TCOR","11:00:00","21:30:00",NULL
"DOMICILIO","DESPACHOS 2:00 a 6:00","TCOR","14:00:00","18:00:00",NULL
"DOMICILIO","INCAPACIDAD  11:00 a 7:00","TCOR","11:00:00","19:00:00",NULL
"DOMICILIO","CUMPLEAÑOS 11:00 a 7:00","TCOR","11:00:00","19:00:00",NULL
"DOMICILIO","capacitacion 3:00 pm a 5:00 pm","TCOR","15:00:00","17:00:00",NULL
